timestamp,datetime,service/carts/qps(2xx),service/carts/latency,service/catalogue/qps(2xx),service/catalogue/latency,service/front-end/qps(2xx),service/front-end/latency,service/orders/qps(2xx),service/orders/latency,service/payment/qps(2xx),service/payment/latency,service/shipping/qps(2xx),service/shipping/latency,service/user/qps(2xx),service/user/latency
1586623000,2020/4/12 00:36,90.3,0.888846163,31.8,0.005041158,165.8978734,0.629606318,30.90150942,0.791778469,29.52545988,0.000965086,32.8,0.001076661,240.6666667,0.014280024
1586623010,2020/4/12 00:36,106.5333333,0.085109336,31.8,0.005041158,169.0978734,0.573589308,31.36644556,0.65523206,35.2427314,0.000732636,32.8,0.001076661,240.6666667,0.014280024
1586623020,2020/4/12 00:37,106.5333333,0.085109336,33.16666667,0.004055834,169.0978734,0.573589308,32.63311223,0.369025299,35.2427314,0.000732636,32.8,0.001076661,270.809027,0.007751193
1586623030,2020/4/12 00:37,106.5333333,0.085109336,33.16666667,0.004055834,173.9999179,0.154902535,34.20023001,0.086595437,35.2427314,0.000732636,32.36558781,0.001093547,270.809027,0.007751193
1586623040,2020/4/12 00:37,99.63333333,0.061824327,33.16666667,0.004055834,175.0665845,0.102497095,34.26668668,0.084128375,32.45476659,0.000656065,32.36558781,0.001093547,270.809027,0.007751193
1586623050,2020/4/12 00:37,99.63333333,0.061824327,34.7,0.003326248,175.0665845,0.102497095,32.53335335,0.079191067,32.45476659,0.000656065,32.36558781,0.001093547,269.7576747,0.008234049
1586623060,2020/4/12 00:37,99.63333333,0.061824327,34.7,0.003326248,175.9678567,0.1080733,32.76645667,0.080436227,32.45476659,0.000656065,33.26777559,0.001304282,269.7576747,0.008234049
1586623070,2020/4/12 00:37,97.4,0.086779665,34.7,0.003326248,174.5345234,0.113349391,32.0979352,0.082875677,33.04655195,0.000753006,33.26777559,0.001304282,269.7576747,0.008234049
1586623080,2020/4/12 00:38,97.4,0.086779665,32.86666667,0.008618245,174.5345234,0.113349391,31.03108187,0.092314639,33.04655195,0.000753006,33.26777559,0.001304282,253.8084603,0.007458347
1586623090,2020/4/12 00:38,97.4,0.086779665,32.86666667,0.008618245,151.3658868,0.463229896,28.89774854,0.161425987,33.04655195,0.000753006,28.16666667,0.001058605,253.8084603,0.007458347
1586623100,2020/4/12 00:38,75.86666667,1.526001095,32.86666667,0.008618245,143.5992202,0.666625432,27.63489404,0.394958524,23.63333333,0.000700744,28.16666667,0.001058605,253.8084603,0.007458347
1586623110,2020/4/12 00:38,75.86666667,1.526001095,28.23333333,0.004166784,143.5992202,0.668828853,27.2685807,0.824066721,23.63333333,0.000700744,28.16666667,0.001058605,219.0666667,0.028269527
1586623120,2020/4/12 00:38,75.86666667,1.526001095,28.23333333,0.004166784,149.1011157,1.072897434,25.5339766,1.258021122,23.63333333,0.000700744,25.8,0.001041269,219.0666667,0.028269527
1586623130,2020/4/12 00:38,100.6333333,0.146516287,28.23333333,0.004166784,156.7677824,0.952145106,27.23182482,0.954095229,31.93333333,0.000619595,25.8,0.001041269,219.0666667,0.028269527
1586623140,2020/4/12 00:39,100.6333333,0.146516287,33.46666667,0.003663066,156.7677824,0.954283556,28.96499148,0.508108613,31.93333333,0.000619595,25.8,0.001041269,265.291157,0.010958468
1586623150,2020/4/12 00:39,100.6333333,0.146516287,33.46666667,0.003663066,173.4,0.20878775,32.76819165,0.119385903,31.93333333,0.000619595,34.86666667,0.001261886,265.291157,0.010958468
1586623160,2020/4/12 00:39,104.7333333,0.068003525,33.46666667,0.003663066,174.1333333,0.122391777,33.8019294,0.116146061,34.4,0.000732771,34.86666667,0.001261886,265.291157,0.010958468
1586623170,2020/4/12 00:39,104.7333333,0.068003525,33.86666667,0.004008143,174.1333333,0.122391777,34.83526274,0.102684312,34.4,0.000732771,34.86666667,0.001261886,274.4666667,0.010432055
1586623180,2020/4/12 00:39,104.7333333,0.068003525,33.86666667,0.004008143,172.8934496,0.122229778,34,0.087979339,34.4,0.000732771,33.63333333,0.001429964,274.4666667,0.010432055
1586623190,2020/4/12 00:39,103.7,0.104015248,33.86666667,0.004008143,173.0601163,0.127069897,34.03380892,0.094080924,34.23333333,0.000596609,33.63333333,0.001429964,274.4666667,0.010432055
1586623200,2020/4/12 00:40,103.7,0.104015248,34.03333333,0.003924947,173.0601163,0.127069897,34.86714225,0.106666422,34.23333333,0.000596609,33.63333333,0.001429964,276.4092136,0.014505664
1586623210,2020/4/12 00:40,103.7,0.104015248,34.03333333,0.003924947,176.7047598,0.133508589,35.56714225,0.109641425,34.23333333,0.000596609,35.63333333,0.001229045,276.4092136,0.014505664
1586623220,2020/4/12 00:40,100.2333333,0.06928439,34.03333333,0.003924947,176.4714265,0.128123065,35.06644556,0.103803915,34,0.000962619,35.63333333,0.001229045,276.4092136,0.014505664
1586623230,2020/4/12 00:40,100.2333333,0.06928439,33.26555781,0.004586149,176.4714265,0.128123065,33.8997789,0.131227339,34,0.000962619,35.63333333,0.001229045,265.3911536,0.011672934
1586623240,2020/4/12 00:40,100.2333333,0.06928439,33.26555781,0.004586149,165.0022445,0.303495553,32.63311223,0.15819614,34,0.000962619,31.36666667,0.001387246,265.3911536,0.011672934
1586623250,2020/4/12 00:40,98.23333333,0.296738953,33.26555781,0.004586149,162.8355779,0.338263926,32.16687223,0.182518719,31.03333333,0.000764203,31.36666667,0.001387246,265.3911536,0.011672934
1586623260,2020/4/12 00:41,98.23333333,0.296738953,36.50121671,0.006821305,162.8355779,0.338263926,31.56604567,0.168017172,31.03333333,0.000764203,31.36666667,0.001387246,254.9084969,0.011731751
1586623270,2020/4/12 00:41,98.23333333,0.296738953,36.50121671,0.006821305,170.0333333,0.179968558,31.23271234,0.153317568,31.03333333,0.000764203,31.66666667,0.001033788,254.9084969,0.011731751
1586623280,2020/4/12 00:41,103,0.12098599,36.50121671,0.006821305,172.9666667,0.153935559,32.33250678,0.134751997,34.86550448,0.000629563,31.66666667,0.001033788,254.9084969,0.011731751
1586623290,2020/4/12 00:41,103,0.12098599,34.43333333,0.004680979,172.9666667,0.153935559,32.66754234,0.120247817,34.86550448,0.000629563,31.66666667,0.001033788,272.5242492,0.013359603
1586623300,2020/4/12 00:41,103,0.12098599,34.43333333,0.004680979,173.7678323,0.14865628,34.16754234,0.110047371,34.86550448,0.000629563,35.03333333,0.001300765,272.5242492,0.013359603
1586623310,2020/4/12 00:41,102.3666667,0.075840667,34.43333333,0.004680979,172.4344989,0.14697878,33.16754234,0.105471278,34.56781893,0.000733538,35.03333333,0.001300765,272.5242492,0.013359603
1586623320,2020/4/12 00:42,102.3666667,0.075840667,34.56666667,0.00422393,172.4344989,0.14697878,33.66666667,0.104901546,34.56781893,0.000733538,35.03333333,0.001300765,274.6666667,0.014146058
1586623330,2020/4/12 00:42,102.3666667,0.075840667,34.56666667,0.00422393,171.5,0.171201543,34.4,0.105946066,34.56781893,0.000733538,32.7,0.001232048,274.6666667,0.014146058
1586623340,2020/4/12 00:42,104.4666667,0.123365539,34.56666667,0.00422393,170.5,0.184333198,34.3,0.115706058,33.3,0.001356629,32.7,0.001232048,274.6666667,0.014146058
1586623350,2020/4/12 00:42,104.4666667,0.123365539,33.89661034,0.005164804,170.5,0.184333198,34.03333333,0.132725092,33.3,0.001356629,32.7,0.001232048,262.708757,0.018871715
1586623360,2020/4/12 00:42,104.4666667,0.123365539,33.89661034,0.005164804,165.7666667,0.318989484,33.23333333,0.175478964,33.3,0.001356629,33.1,0.001278439,262.708757,0.018871715
1586623370,2020/4/12 00:42,98,0.246134064,33.89661034,0.005164804,165.6666667,0.3290416,33.1,0.196050283,32.53333333,0.003068884,33.1,0.001278439,262.708757,0.018871715
1586623380,2020/4/12 00:43,98,0.246134064,32.46991366,0.006563397,165.6666667,0.3290416,34.06666667,0.227753336,32.53333333,0.003068884,33.1,0.001278439,263.8333333,0.014077574
1586623390,2020/4/12 00:43,98,0.246134064,32.46991366,0.006563397,156.3333333,0.513667567,31.16646445,0.226855248,32.53333333,0.003068884,29.66567781,0.000959549,263.8333333,0.014077574
1586623400,2020/4/12 00:43,90.43333333,0.378877977,32.46991366,0.006563397,154.2,0.603544267,31.23292779,0.25057333,30.49898337,0.000629365,29.66567781,0.000959549,263.8333333,0.014077574
1586623410,2020/4/12 00:43,90.43333333,0.378877977,29.83333333,0.015565428,154.2,0.603544267,28.79900785,0.325177125,30.49898337,0.000629365,29.66567781,0.000959549,244.0585314,0.039146072
1586623420,2020/4/12 00:43,90.43333333,0.378877977,29.83333333,0.015565428,122.5313545,0.773898619,29.99940118,0.399602235,30.49898337,0.000629365,31.06770226,0.001336899,244.0585314,0.039146072
1586623430,2020/4/12 00:43,51.93333333,0.212212293,29.83333333,0.015565428,90.59802118,0.819078846,27.99974118,0.395403668,17.83333333,0.010628586,31.06770226,0.001336899,244.0585314,0.039146072
1586623440,2020/4/12 00:44,51.93333333,0.212212293,18.86666667,0.175797712,90.59802118,0.819078846,22.33397449,0.370336051,17.83333333,0.010628586,31.06770226,0.001336899,138.2,0.031117765
1586623450,2020/4/12 00:44,51.93333333,0.212212293,18.86666667,0.175797712,107.8347978,2.369027846,17.90045004,0.327741487,17.83333333,0.010628586,19.89933669,0.000768352,138.2,0.031117765
1586623460,2020/4/12 00:44,91.83333333,0.306749945,18.86666667,0.175797712,107.8347978,2.369027846,19.36698003,0.285233792,30.43434781,0.001890948,19.89933669,0.000768352,138.2,0.031117765
1586623470,2020/4/12 00:44,91.83333333,0.306749945,23,0.014553237,107.8347978,2.369027846,23.59980778,0.294355328,30.43434781,0.001890948,19.89933669,0.000768352,235.0666667,0.016060554
1586623480,2020/4/12 00:44,91.83333333,0.306749945,23,0.014553237,44.20147338,1.557530261,22.99970223,0.319371705,30.43434781,0.001890948,16.70055669,0.000813924,235.0666667,0.016060554
1586623490,2020/4/12 00:44,null,null,23,0.014553237,44.20147338,1.557530261,18.23303557,0.48130815,1.699263652,0.153914395,16.70055669,0.000813924,235.0666667,0.016060554
1586623500,2020/4/12 00:45,null,null,5.333333333,2.075201699,44.20147338,1.557530261,7.933230004,0.877722119,1.699263652,0.153914395,16.70055669,0.000813924,31.00103337,0.051217183
1586623510,2020/4/12 00:45,null,null,5.333333333,2.075201699,0,0,1.000002222,3.981156942,1.699263652,0.153914395,0.433333333,0.001323433,31.00103337,0.051217183
1586623520,2020/4/12 00:45,null,null,5.333333333,2.075201699,0,0,0.200002222,7.436736486,0,0.003169375,0.433333333,0.001323433,31.00103337,0.051217183
1586623530,2020/4/12 00:45,null,null,0,0.00410625,0,0,0,null,0,0.003169375,0.433333333,0.001323433,0,0.004550376
1586623540,2020/4/12 00:45,null,null,0,0.00410625,0.333333333,0.002425028,0,null,0,0.003169375,0,null,0,0.004550376
1586623550,2020/4/12 00:45,null,null,0,0.00410625,0.333333333,0.002425028,0,null,0,0.002149488,0,null,0,0.004550376
1586623560,2020/4/12 00:46,null,null,0,0.007457172,0.333333333,0.002425028,0,null,0,0.002149488,0,null,0,0.004353585
1586623570,2020/4/12 00:46,null,null,0,0.007457172,0.333333333,0.002395944,0,null,0,0.002149488,0,null,0,0.004353585
1586623580,2020/4/12 00:46,null,null,0,0.007457172,0.333333333,0.002395944,0,null,0,0.003442126,0,null,0,0.004353585
1586623590,2020/4/12 00:46,null,null,0,0.00235821,0.333333333,0.002395944,0,null,0,0.003442126,0,null,0,0.010905607
1586623600,2020/4/12 00:46,null,null,0,0.00235821,0.333333333,0.001351739,0,null,0,0.003442126,0,null,0,0.010905607
1586623610,2020/4/12 00:46,null,null,0,0.00235821,0.333333333,0.001351739,0,null,0,0.004839263,0,null,0,0.010905607
1586623620,2020/4/12 00:47,null,null,0,0.003117078,0.333333333,0.001351739,0,null,0,0.004839263,0,null,0,0.005601972
1586623630,2020/4/12 00:47,null,null,0,0.003117078,0.333333333,0.001540854,0,null,0,0.004839263,0,null,0,0.005601972
1586623640,2020/4/12 00:47,null,null,0,0.003117078,0.333333333,0.001540854,0,null,0,0.001918893,0,null,0,0.005601972
1586623650,2020/4/12 00:47,null,null,0,0.003185284,0.333333333,0.001540854,0,null,0,0.001918893,0,null,0,0.004122082
1586623660,2020/4/12 00:47,null,null,0,0.003185284,0.333333333,0.002838509,0,null,0,0.001918893,0,null,0,0.004122082
1586623670,2020/4/12 00:47,null,null,0,0.003185284,0.333333333,0.002838509,0,null,0,0.012190679,0,null,0,0.004122082
1586623680,2020/4/12 00:48,null,null,19.5,0.013387218,0.996255557,0.024554836,0,null,0,0.012190679,0,null,84.6,0.033367402
1586623690,2020/4/12 00:48,null,null,19.5,0.013387218,1.000022224,0.03276715,0,null,0,0.012190679,0,null,84.6,0.033367402
1586623700,2020/4/12 00:48,null,null,19.5,0.013387218,1.000022224,0.037647845,0,null,0,0.005822184,0,null,84.6,0.033367402
1586623710,2020/4/12 00:48,null,null,20.6,0.009648883,25.07669367,1.315706089,0,null,0,0.005822184,0,null,200.7333333,0.020086566
1586623720,2020/4/12 00:48,null,null,20.6,0.009648883,39.33421003,1.567566341,0,null,0,0.005822184,0,null,200.7333333,0.020086566
1586623730,2020/4/12 00:48,null,null,20.6,0.009648883,39.33421003,1.859975435,0,null,0,0.003021613,0,null,200.7333333,0.020086566
1586623740,2020/4/12 00:49,null,null,6.466666667,0.003896472,23.16666667,5.312629825,0,null,0,0.003021613,0,null,50.4,0.004834942
1586623750,2020/4/12 00:49,null,null,6.466666667,0.003896472,14.13333333,10.35418271,0,null,0,0.003021613,0,null,50.4,0.004834942
1586623760,2020/4/12 00:49,null,null,6.466666667,0.003896472,14.13333333,12.12008093,0,null,0,0.003728147,0,null,50.4,0.004834942
1586623770,2020/4/12 00:49,null,null,6.8,0.003607678,14.06666667,16.97342621,0,null,0,0.003728147,0,null,56.83333333,0.007362367
1586623780,2020/4/12 00:49,null,null,6.8,0.003607678,14.8,20.41545906,0,null,0,0.003728147,0,null,56.83333333,0.007362367
1586623790,2020/4/12 00:49,null,null,6.8,0.003607678,14.8,21.4980729,0,null,0,0.002418303,0,null,56.83333333,0.007362367
1586623800,2020/4/12 00:50,null,null,6.666666667,0.003011797,15.56666667,21.92348911,0,null,0,0.002418303,0,null,56.76666667,0.00476182
1586623810,2020/4/12 00:50,null,null,6.666666667,0.003011797,16.26666667,21.62717304,0,null,0,0.002418303,0,null,56.76666667,0.00476182
1586623820,2020/4/12 00:50,null,null,6.666666667,0.003011797,16.26666667,21.62717304,0,null,0,0.00183854,0,null,56.76666667,0.00476182
1586623830,2020/4/12 00:50,null,null,10.7,0.008452486,18.86666667,14.16787879,0.866666667,2.149298542,0,0.00183854,0,null,52.86666667,0.003629425
1586623840,2020/4/12 00:50,null,null,10.7,0.008452486,21.63333333,8.867129377,0.866666667,2.149298542,0,0.00183854,8.9,0.001273722,52.86666667,0.003629425
1586623850,2020/4/12 00:50,null,null,10.7,0.008452486,21.63333333,8.867129377,6.433333333,0.746008284,25.30084336,0.000592836,8.9,0.001273722,52.86666667,0.003629425
1586623860,2020/4/12 00:51,80.62868667,0.646095677,31.56666667,0.010301948,90.05536389,1.762097522,17.56603673,0.359922234,25.30084336,0.000592836,8.9,0.001273722,220.3,0.017676566
1586623870,2020/4/12 00:51,93.82286667,0.555236136,31.56666667,0.010301948,141.5420694,0.736551004,17.56603673,0.359922234,25.30084336,0.000592836,32.03333333,0.001223422,220.3,0.017676566
1586623880,2020/4/12 00:51,95.6,0.544914706,31.56666667,0.010301948,146.1942522,0.7236935,29.34222895,0.319268417,33,0.001152196,32.03333333,0.001223422,220.3,0.017676566
1586623890,2020/4/12 00:51,96.36666667,0.106825924,32,0.012798298,165.0666667,0.370145325,32.3835512,0.248947628,33,0.001152196,32.03333333,0.001223422,260.3,0.020074419
1586623900,2020/4/12 00:51,96.36666667,0.106825924,32,0.012798298,166.5666667,0.352998376,32.66660788,0.246790493,33,0.001152196,32.1,0.000973253,260.3,0.020074419
1586623910,2020/4/12 00:51,96.36666667,0.106825924,32,0.012798298,166.5666667,0.352998376,32.80040343,0.176528244,32.1,0.000847149,32.1,0.000973253,260.3,0.020074419
1586623920,2020/4/12 00:52,99.9,0.075406159,32.8,0.029719442,164.8,0.30182338,33.00063559,0.17385066,32.1,0.000847149,32.1,0.000973253,264.5666667,0.028575825
1586623930,2020/4/12 00:52,99.9,0.075406159,32.8,0.029719442,163.7682056,0.312087354,33.00063559,0.17385066,32.1,0.000847149,32.96666667,0.001332037,264.5666667,0.028575825
1586623940,2020/4/12 00:52,99.9,0.075406159,32.8,0.029719442,164.1052278,0.311497498,32.60041336,0.175932867,32,0.001345306,32.96666667,0.001332037,264.5666667,0.028575825
1586623950,2020/4/12 00:52,96.43333333,0.074106594,32.93333333,0.023833804,166.7666667,0.242821619,32.2,0.166900218,32,0.001345306,32.96666667,0.001332037,261.5333333,0.023284109
1586623960,2020/4/12 00:52,96.43333333,0.074106594,32.93333333,0.023833804,166.7,0.231593635,32.2,0.166900218,32,0.001345306,32.39892004,0.001583942,261.5333333,0.023284109
1586623970,2020/4/12 00:52,96.43333333,0.074106594,32.93333333,0.023833804,166.7,0.231593717,32.26666667,0.151619675,33.1644557,0.001065673,32.39892004,0.001583942,261.5333333,0.023284109
1586623980,2020/4/12 00:53,95.23333333,0.075974609,31.73333333,0.026058294,165.7333333,0.267833913,32.73313112,0.148933385,33.1644557,0.001065673,32.39892004,0.001583942,253,0.020749334
1586623990,2020/4/12 00:53,95.23333333,0.075974609,31.73333333,0.026058294,164.7857905,0.259992272,32.73313112,0.148933385,33.1644557,0.001065673,31.90106337,0.001481508,253,0.020749334
1586624000,2020/4/12 00:53,95.23333333,0.075974609,31.73333333,0.026058294,164.7857905,0.25999863,33.56646445,0.13401104,33.16887793,0.001887937,31.90106337,0.001481508,253,0.020749334
1586624010,2020/4/12 00:53,101.9666667,0.060916604,32.8,0.031371311,167.6857905,0.217915395,33.80021779,0.135954896,33.16887793,0.001887937,31.90106337,0.001481508,276.2666667,0.02671914
1586624020,2020/4/12 00:53,101.9666667,0.060916604,32.8,0.031371311,171.2484929,0.217490511,33.80021779,0.135954896,33.16887793,0.001887937,33.16666667,0.001800821,276.2666667,0.02671914
1586624030,2020/4/12 00:53,101.9666667,0.060916604,32.8,0.031371311,171.2484929,0.217485623,32.36631784,0.140850637,33.7,0.002358454,33.16666667,0.001800821,276.2666667,0.02671914
1586624040,2020/4/12 00:54,95.4,0.084601992,32.26666667,0.0512379,168.3818263,0.245616031,31.79943339,0.158250479,33.7,0.002358454,33.16666667,0.001800821,263.4333333,0.033042512
1586624050,2020/4/12 00:54,95.4,0.084601992,32.26666667,0.0512379,165.2666667,0.272401113,31.79943339,0.158250479,33.7,0.002358454,33.03333333,0.001867354,263.4333333,0.033042512
1586624060,2020/4/12 00:54,95.4,0.084601992,32.26666667,0.0512379,165.2666667,0.272403241,32.96560573,0.158205547,32.83333333,0.001250127,33.03333333,0.001867354,263.4333333,0.033042512
1586624070,2020/4/12 00:54,100.5666667,0.064615296,33.56666667,0.026035158,166.2666667,0.245055867,33.36560573,0.151457923,32.83333333,0.001250127,33.03333333,0.001867354,261.3666667,0.040372726
1586624080,2020/4/12 00:54,100.5666667,0.064615296,33.56666667,0.026035158,167.0297002,0.23532279,33.36560573,0.151457923,32.83333333,0.001250127,33.1,0.002224924,261.3666667,0.040372726
1586624090,2020/4/12 00:54,100.5666667,0.064615296,33.56666667,0.026035158,167.0297002,0.235329333,33.33500489,0.147509866,31.96666667,0.001281695,33.1,0.002224924,261.3666667,0.040372726
1586624100,2020/4/12 00:55,100.4666667,0.076699058,32.06559781,0.027847385,168.7963669,0.232229403,32.73478823,0.148186167,31.96666667,0.001281695,33.1,0.002224924,265.9666667,0.033917028
